file,site,year,month,day,time,nu1_label,img_type
hawbeckereddy_2016_01_23_120008.jpg,hawbeckereddy,2016,01,23,120008,1,or_img
hawbeckereddy_2016_02_13_120008.jpg,hawbeckereddy,2016,02,13,120008,1,or_img
hawbeckereddy_2016_02_17_120006.jpg,hawbeckereddy,2016,02,17,120006,1,or_img
hawbeckereddy_2016_12_12_120006.jpg,hawbeckereddy,2016,12,12,120006,1,or_img
hawbeckereddy_2016_12_15_120008.jpg,hawbeckereddy,2016,12,15,120008,1,or_img
hawbeckereddy_2016_12_17_120008.jpg,hawbeckereddy,2016,12,17,120008,1,or_img
hawbeckereddy_2016_12_29_120007.jpg,hawbeckereddy,2016,12,29,120007,1,or_img
hawbeckereddy_2016_12_30_120007.jpg,hawbeckereddy,2016,12,30,120007,1,or_img
hawbeckereddy_2017_01_10_120008.jpg,hawbeckereddy,2017,01,10,120008,1,or_img
hawbeckereddy_2017_01_24_120008.jpg,hawbeckereddy,2017,01,24,120008,1,or_img
hawbeckereddy_2017_02_02_120006.jpg,hawbeckereddy,2017,02,02,120006,1,or_img
hawbeckereddy_2017_02_03_120006.jpg,hawbeckereddy,2017,02,03,120006,1,or_img
hawbeckereddy_2017_02_09_120008.jpg,hawbeckereddy,2017,02,09,120008,1,or_img
hawbeckereddy_2017_03_10_120009.jpg,hawbeckereddy,2017,03,10,120009,1,or_img
hawbeckereddy_2017_03_14_120008.jpg,hawbeckereddy,2017,03,14,120008,1,or_img
hawbeckereddy_2017_03_15_120008.jpg,hawbeckereddy,2017,03,15,120008,1,or_img
hawbeckereddy_2017_12_15_120008.jpg,hawbeckereddy,2017,12,15,120008,1,or_img
hawbeckereddy_2017_12_31_113006.jpg,hawbeckereddy,2017,12,31,113006,1,or_img
hawbeckereddy_2016_06_27_120008.jpg,hawbeckereddy,2016,06,27,120008,0,or_img
hawbeckereddy_2016_06_27_120008.jpg,hawbeckereddy,2016,06,27,120008,0,eh_img
