file,site,year,month,day,time,nu1_label,img_type
bartlettir_2012_01_08_120143.jpg,bartlettir,2012,01,08,120143,1,or_img
bartlettir_2012_01_12_120147.jpg,bartlettir,2012,01,12,120147,1,or_img
bartlettir_2012_01_13_120144.jpg,bartlettir,2012,01,13,120144,1,or_img
bartlettir_2012_02_22_120151.jpg,bartlettir,2012,02,22,120151,1,or_img
bartlettir_2012_12_17_120113.jpg,bartlettir,2012,12,17,120113,1,or_img
bartlettir_2013_01_02_120106.jpg,bartlettir,2013,01,02,120106,1,or_img
bartlettir_2013_02_15_120109.jpg,bartlettir,2013,02,15,120109,1,or_img
bartlettir_2013_12_07_120106.jpg,bartlettir,2013,12,07,120106,1,or_img
bartlettir_2016_12_17_120106.jpg,bartlettir,2016,12,17,120106,1,or_img
bartlettir_2016_07_21_120108.jpg,bartlettir,2016,07,21,120108,0,or_img
bartlettir_2014_07_29_120112.jpg,bartlettir,2014,07,29,120112,0,or_img
bartlettir_2014_07_15_120109.jpg,bartlettir,2014,07,15,120109,0,or_img
bartlettir_2014_07_22_120111.jpg,bartlettir,2014,07,22,120111,0,or_img
bartlettir_2016_06_20_120108.jpg,bartlettir,2016,06,20,120108,0,or_img
bartlettir_2015_06_04_120112.jpg,bartlettir,2015,06,04,120112,0,or_img
bartlettir_2014_07_31_120117.jpg,bartlettir,2014,07,31,120117,0,or_img
bartlettir_2014_08_08_120112.jpg,bartlettir,2014,08,08,120112,0,or_img
bartlettir_2014_06_08_121116.jpg,bartlettir,2014,06,08,121116,0,or_img
bartlettir_2014_06_16_121112.jpg,bartlettir,2014,06,16,121112,0,or_img
bartlettir_2014_08_12_120107.jpg,bartlettir,2014,08,12,120107,0,or_img
bartlettir_2015_06_13_120111.jpg,bartlettir,2015,06,13,120111,0,or_img
bartlettir_2014_08_11_120113.jpg,bartlettir,2014,08,11,120113,0,or_img
bartlettir_2014_07_08_120112.jpg,bartlettir,2014,07,08,120112,0,or_img
bartlettir_2014_06_30_120108.jpg,bartlettir,2014,06,30,120108,0,or_img
bartlettir_2014_06_17_121107.jpg,bartlettir,2014,06,17,121107,0,or_img
bartlettir_2014_06_09_121108.jpg,bartlettir,2014,06,09,121108,0,or_img
bartlettir_2015_07_08_120119.jpg,bartlettir,2015,07,08,120119,0,or_img
bartlettir_2016_07_21_120108.jpg,bartlettir,2016,07,21,120108,0,eh_img
bartlettir_2014_07_29_120112.jpg,bartlettir,2014,07,29,120112,0,eh_img
bartlettir_2014_07_15_120109.jpg,bartlettir,2014,07,15,120109,0,eh_img
bartlettir_2014_07_22_120111.jpg,bartlettir,2014,07,22,120111,0,eh_img
bartlettir_2016_06_20_120108.jpg,bartlettir,2016,06,20,120108,0,eh_img
bartlettir_2015_06_04_120112.jpg,bartlettir,2015,06,04,120112,0,eh_img
bartlettir_2014_07_31_120117.jpg,bartlettir,2014,07,31,120117,0,eh_img
bartlettir_2014_08_08_120112.jpg,bartlettir,2014,08,08,120112,0,eh_img
bartlettir_2014_06_08_121116.jpg,bartlettir,2014,06,08,121116,0,eh_img
bartlettir_2014_06_16_121112.jpg,bartlettir,2014,06,16,121112,0,eh_img
bartlettir_2014_08_12_120107.jpg,bartlettir,2014,08,12,120107,0,eh_img
bartlettir_2015_06_13_120111.jpg,bartlettir,2015,06,13,120111,0,eh_img
bartlettir_2014_08_11_120113.jpg,bartlettir,2014,08,11,120113,0,eh_img
bartlettir_2014_07_08_120112.jpg,bartlettir,2014,07,08,120112,0,eh_img
bartlettir_2014_06_30_120108.jpg,bartlettir,2014,06,30,120108,0,eh_img
bartlettir_2014_06_17_121107.jpg,bartlettir,2014,06,17,121107,0,eh_img
bartlettir_2014_06_09_121108.jpg,bartlettir,2014,06,09,121108,0,eh_img
bartlettir_2015_07_08_120119.jpg,bartlettir,2015,07,08,120119,0,eh_img
